Institute,Branch,Duration (Years),Degree Title,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Kharagpur,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),8646,11646
IIT Kharagpur,Chemistry,4,Bachelor of Science,AI,OPEN,Gender-Neutral,7869,12488
IIT Kharagpur,Chemistry,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),18426,19077
IIT Kharagpur,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4902,6992
IIT Kharagpur,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),12769,15388
IIT Kharagpur,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,226,415
IIT Kharagpur,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),1172,1661
IIT Kharagpur,Economics,4,Bachelor of Science,AI,OPEN,Gender-Neutral,3176,5263
IIT Kharagpur,Economics,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),6763,10746
IIT Kharagpur,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1460,2016
IIT Kharagpur,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4312,5599
IIT Kharagpur,Electronics and Electrical Communication Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,516,1448
IIT Kharagpur,Electronics and Electrical Communication Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),1815,3816
IIT Kharagpur,Exploration Geophysics,4,Bachelor of Science,AI,OPEN,Gender-Neutral,9996,12413
IIT Kharagpur,Exploration Geophysics,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),19316,20680
IIT Kharagpur,Industrial and Systems Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2915,4364
IIT Kharagpur,Industrial and Systems Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7214,10726
IIT Kharagpur,Instrumentation Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2022,2481
IIT Kharagpur,Instrumentation Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6373,6582
IIT Kharagpur,Manufacturing Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4649,6067
IIT Kharagpur,Manufacturing Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),12350,12933
IIT Kharagpur,Mathematics and Computing,4,Bachelor of Science,AI,OPEN,Gender-Neutral,971,1329
IIT Kharagpur,Mathematics and Computing,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),3514,3957
IIT Kharagpur,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2160,3613
IIT Kharagpur,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6783,10732
IIT Kharagpur,Metallurgical and Materials Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5472,7104
IIT Kharagpur,Metallurgical and Materials Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),12914,15082
IIT Kharagpur,Mining Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,7431,10218
IIT Kharagpur,Mining Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),16126,19143
IIT Kharagpur,Ocean Engineering and Naval Architecture,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,7876,9098
IIT Kharagpur,Ocean Engineering and Naval Architecture,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),16598,17790
IIT Kharagpur,Physics,4,Bachelor of Science,AI,OPEN,Gender-Neutral,2957,9672
IIT Kharagpur,Physics,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),14639,17600
IIT Hyderabad,Artificial Intelligence,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,685,875
IIT Hyderabad,Artificial Intelligence,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2214,2840
IIT Hyderabad,Biomedical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,6579,8493
IIT Hyderabad,Biomedical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),15656,15954
IIT Hyderabad,Biotechnology and Bioinformatics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,6015,8524
IIT Hyderabad,Biotechnology and Bioinformatics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),14833,15214
IIT Hyderabad,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4229,5757
IIT Hyderabad,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),10591,11897
IIT Hyderabad,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,7053,7898
IIT Hyderabad,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),12882,16049
IIT Hyderabad,Computational Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1046,1790
IIT Hyderabad,Computational Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4462,5158
IIT Hyderabad,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,431,656
IIT Hyderabad,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),1709,1809
IIT Hyderabad,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1022,2105
IIT Hyderabad,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),3084,4344
IIT Hyderabad,Electrical Engineering (IC Design and Technology),4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1570,2147
IIT Hyderabad,Electrical Engineering (IC Design and Technology),4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4056,4434
IIT Hyderabad,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3442,4932
IIT Hyderabad,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),11250,12055
IIT Hyderabad,Engineering Science,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1822,3835
IIT Hyderabad,Engineering Science,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4470,5748
IIT Hyderabad,Industrial Chemistry,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,8178,9551
IIT Hyderabad,Industrial Chemistry,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),15890,16446
IIT Hyderabad,Materials Science and Metallurgical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5105,8197
IIT Hyderabad,Materials Science and Metallurgical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),13015,15999
IIT Hyderabad,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,660,982
IIT Hyderabad,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2885,3625
IIT Hyderabad,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3751,4469
IIT Hyderabad,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7527,10758
IIT Jodhpur,Artificial Intelligence and Data Science,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3048,4182
IIT Jodhpur,Artificial Intelligence and Data Science,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7749,8194
IIT Jodhpur,Bio Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,12293,14666
IIT Jodhpur,Bio Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),18682,20850
IIT Jodhpur,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,8295,11036
IIT Jodhpur,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),15996,19661
IIT Jodhpur,Chemistry with Specialization,4,Bachelor of Science,AI,OPEN,Gender-Neutral,12654,16381
IIT Jodhpur,Chemistry with Specialization,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),22452,23748
