Institute,Branch,Duration (Years),Degree Title,Quota,Seat Type,Gender,Opening Rank,Closing Rank
IIT Indore,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),12689,16373
IIT Indore,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,9004,10641
IIT Indore,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),16727,17630
IIT Indore,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,952,1775
IIT Indore,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2695,3922
IIT Indore,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2390,3723
IIT Indore,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6403,8044
IIT Indore,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5236,8299
IIT Indore,Engineering Physics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),14114,16848
IIT Indore,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1751,2099
IIT Indore,Mathematics and Computing,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4271,5553
IIT Indore,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4522,7545
IIT Indore,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),12528,16482
IIT Indore,Metallurgical Engineering and Materials Science,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,8439,11274
IIT Indore,Metallurgical Engineering and Materials Science,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),20322,22422
IIT Indore,Space Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5679,7419
IIT Indore,Space Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),13917,13924
IIT Kharagpur,Aerospace Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,3830,4872
IIT Kharagpur,Aerospace Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),10128,12034
IIT Kharagpur,Agricultural and Food Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,6545,11111
IIT Kharagpur,Agricultural and Food Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),17306,19074
IIT Kharagpur,Applied Geology,4,Bachelor of Science,AI,OPEN,Gender-Neutral,11734,13685
IIT Kharagpur,Applied Geology,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),20949,21618
IIT Kharagpur,Architecture,5,Bachelor of Architecture,AI,OPEN,Gender-Neutral,9970,19141
IIT Kharagpur,Architecture,5,Bachelor of Architecture,AI,OPEN,Female-only (including Supernumerary),19716,24124
IIT Kharagpur,Artificial Intelligence,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,461,953
IIT Kharagpur,Artificial Intelligence,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2901,3194
IIT Kharagpur,Biotechnology and Biochemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,6774,9224
IIT Kharagpur,Biotechnology and Biochemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7274,14841
IIT Kharagpur,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4379,5222
IIT Kharagpur,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7574,11358
IIT Kharagpur,Chemistry,4,Bachelor of Science,AI,OPEN,Gender-Neutral,11214,12321
IIT Kharagpur,Chemistry,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),20022,21532
IIT Kharagpur,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,6188,7774
IIT Kharagpur,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),13875,15272
IIT Kharagpur,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,238,466
IIT Kharagpur,Computer Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),1202,1908
IIT Kharagpur,Economics,4,Bachelor of Science,AI,OPEN,Gender-Neutral,3681,6063
IIT Kharagpur,Economics,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),10113,12877
IIT Kharagpur,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,1492,1985
IIT Kharagpur,Electrical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),4721,5393
IIT Kharagpur,Electronics and Electrical Communication Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,419,1485
IIT Kharagpur,Electronics and Electrical Communication Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),3229,4734
IIT Kharagpur,Exploration Geophysics,4,Bachelor of Science,AI,OPEN,Gender-Neutral,11359,12443
IIT Kharagpur,Exploration Geophysics,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),19766,20854
IIT Kharagpur,Industrial and Systems Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2873,4329
IIT Kharagpur,Industrial and Systems Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),9189,10288
IIT Kharagpur,Instrumentation Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2077,2741
IIT Kharagpur,Instrumentation Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),6076,7896
IIT Kharagpur,Manufacturing Science and Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5124,6547
IIT Kharagpur,Manufacturing Science and Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),12718,14070
IIT Kharagpur,Mathematics and Computing,4,Bachelor of Science,AI,OPEN,Gender-Neutral,519,1336
IIT Kharagpur,Mathematics and Computing,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),3754,4563
IIT Kharagpur,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,2773,4016
IIT Kharagpur,Mechanical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),7605,10333
IIT Kharagpur,Metallurgical and Materials Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5552,7708
IIT Kharagpur,Metallurgical and Materials Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),13680,15297
IIT Kharagpur,Mining Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,7833,10765
IIT Kharagpur,Mining Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),17757,20249
IIT Kharagpur,Ocean Engineering and Naval Architecture,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,7465,10074
IIT Kharagpur,Ocean Engineering and Naval Architecture,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),15779,17428
IIT Kharagpur,Physics,4,Bachelor of Science,AI,OPEN,Gender-Neutral,7367,10939
IIT Kharagpur,Physics,4,Bachelor of Science,AI,OPEN,Female-only (including Supernumerary),19589,20982
IIT Hyderabad,Artificial Intelligence,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,690,861
IIT Hyderabad,Artificial Intelligence,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),2160,2515
IIT Hyderabad,Biomedical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4950,8376
IIT Hyderabad,Biomedical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),13324,15443
IIT Hyderabad,Biotechnology and Bioinformatics,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5421,9378
IIT Hyderabad,Biotechnology and Bioinformatics,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),10909,12925
IIT Hyderabad,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,4432,5756
IIT Hyderabad,Chemical Engineering,4,Bachelor of Technology,AI,OPEN,Female-only (including Supernumerary),10003,11874
IIT Hyderabad,Civil Engineering,4,Bachelor of Technology,AI,OPEN,Gender-Neutral,5850,8698
